排序,名稱,類別,人口密度
1,台北市,直轄市,"9,723.62"
2,嘉義市,市,"4,458.98"
3,新竹市,市,"4,312.07"
4,基隆市,市,"2,778.96"
5,新北市,直轄市,"1,958.80"
6,桃園市,直轄市,"1,843.60"
7,台中市,直轄市,"1,271.26"
8,彰化縣,縣,"1,184.34"
9,高雄市,直轄市,939.94
10,金門縣,縣,924.81
11,台南市,直轄市,857.9
12,澎湖縣,縣,828.82
13,雲林縣,縣,527.54
14,連江縣,縣,454.17
15,新竹縣,縣,395.29
16,苗栗縣,縣,299.64
17,屏東縣,縣,294.89
18,嘉義縣,縣,264.08
19,宜蘭縣,縣,211.87
20,南投縣,縣,120.3
21,花蓮縣,縣,70.49
22,台東縣,縣,61.63
