time,turn_billion,sum_t,mon_sum
10801,267,53916,4921
10802,213,53916,3772
10803,225,53916,4221
10804,225,53916,4342
10805,237,53916,4487
10806,228,53916,4397
10807,233,53916,4680
10808,236,53916,4228
10809,233,53916,4360
10810,247,53916,4733
10811,313,53916,4832
10812,283,53916,4943
